Id,Station name,Location,Latitude,Longitude,Elev. (ft),First obs,Last obs,Irrigation type,Owner
AKR02,Akron,USDA-ARS-GPRC,40.1548,-103.142,4537,33786,Current,Dry land,CoAgMet
ALT01,Ault,1 mi SE Ault,40.569,-104.72,4910,33680,Current,Fully irrigated,CoAgMet
AVN01,Avondale,1 mi SE Avondale,38.2056,-104.3294,4630,33759,Current,Fully irrigated,CoAgMet
BLA01,Blanca,8 mi SW Blanca,37.3905,-105.557,7755,35485,Current,Dry land,CoAgMet
BNV01,Buena Vista,CDW Area SW of Buena Vista,38.8315,-106.129,7900,40463,Current,Partial irrigation,CoAgMet
BRG01,Briggsdale,3 mi S Briggsdale,40.5947,-104.319,4858,37468,Current,Dry land,CoAgMet
BRK01,Bedrock,1 mile NE of Bedrock,38.3279,-108.855,4973,41585,44692,Dry land,CoAgMet
BRL01,Burlington North,18 mi NNE Burlington,39.4998,-102.074,3900,33731,40910,Partial irrigation,CoAgMet
BRL02,Burlington South,6 mi SE Burlington,39.2651,-102.109,4170,33605,Current,Dry land,CoAgMet
BRL03,Burlington 3,4 mi NE of Burlington,39.3374,-102.196,4068,39528,Current,Fully irrigated,CoAgMet
CBL01,Carbondale,Carbondale,39.3623,-107.208,6293,42132,Current,Fully irrigated,CoAgMet
CBN01,Collbran,3 mi SW of Collbran,39.1993,-107.9899,6555,43189,Current,Fully irrigated,CoAgMet
CCR01,Cherry Creek Res,2 miles south of Cherry Creek Res,39.6059,-104.8339,5632,43671,Current,Dry land,CoAgMet
CDG01,Cedaredge,Cedaredge,38.9142,-107.932,6404,38766,42130,Fully irrigated,CoAgMet
CHT01,Chatfield at South Platte Res,1.2 mi north of Chatfield Res,39.5741,-105.0538,5414,43803,Current,Dry land,CoAgMet
CKP01,Cherokee Park,1 mile west of US 287 on Road 80C,40.8263,-105.267,5956,41845,Current,Dry land,CoAgMet
CLK01,Clark,1 mile WSW of Clark,40.7043,-106.9341,7221,43215,Current,Fully irrigated,CoAgMet
CNN01,Canon City,East of Canon City,38.4425,-105.1764,5344,40543,Current,Partial irrigation,CoAgMet
COW01,Cowdrey,9 miles north of Walden,40.8659,-106.336,7895,39974,Current,Fully irrigated,CoAgMet
CTR01,Center,CSU San Luis Valley Expt Sta,37.7067,-106.144,7702,34250,Current,Partial irrigation,CoAgMet
CTR02,Center #2,Coors Research Farm,37.8288,-106.038,7608,37896,44833,Partial irrigation,CoAgMet
CTZ01,Cortez,9 mi SW Cortez,37.2246,-108.6725,6015,33605,Current,Fully irrigated,CoAgMet
CYA01,Canyon of the Ancients,Canyon of the Ancients,37.5009,-108.8155,6680,44596,Current,Fully irrigated,CoAgMet
DLT01,Delta,3 mi W Delta,38.7345,-108.1186,5010,34808,44289,Partial irrigation,CoAgMet
DRG01,Durango,11 mi S of Durango,37.1125,-107.8806,6203,43250,Current,Fully irrigated,CoAgMet
DVC01,Dove Creek,4 mi NW Dove Creek,37.7265,-108.954,6595,33905,Current,Dry land,CoAgMet
EAC01,Eastern Adams County (landfill),10 mi W Last Chance,39.7857,-103.798,4907,36724,44865,Dry land,CoAgMet
EGL01,Eagle,2 mi SE of Eagle,39.6308,-106.7815,6894,43788,Current,Fully irrigated,CoAgMet
EKT01,Eckert,"0.5 miles west of Eckert, CO",38.8398,-107.973,5522,42131,Current,Fully irrigated,CoAgMet
FCC01,Christman Field,Christman air field,40.5917,-105.1418,5148,35689,Current,Dry land,CoAgMet
FCL01,Fort Collins,CSU Campus,40.5762,-105.0857,4997,35096,Current,Fully irrigated,CoAgMet
FRT01,CSU Fruita Expt,2 mi ENE of Fruita,39.1667,-108.75,4500,39448,39812,,CoAgMet
FRT02,CSU Fruita Expt Station,2 mi ENE Fruita,39.1803,-108.6993,4519,33771,43835,Partial irrigation,CoAgMet
FRT03,CSU Fruita Exp Station,2 mi ENE Fruita,39.183,-108.6968,4605,43733,Current,Partial irrigation,CoAgMet
FTC01,Fort Collins AERC,Fort Collins AERC,40.5947,-105.137,5120,33635,Current,Partial irrigation,CoAgMet
FTC03,CSU - ARDEC,6 mi NE Fort Collins,40.6525,-105,5110,33732,Current,Partial irrigation,CoAgMet
FTL01,Fort Lupton,6 mi SSW Fort Lupton,40.0011,-104.849,5055,33680,Current,Partial irrigation,CoAgMet
FTM01,Fort Morgan,8 mi W Fort Morgan,40.2585,-103.954,4320,34810,40274,Partial irrigation,CoAgMet
FWL01,Fowler,Fowler Golf Course,38.1351,-104.032,4335,38428,Current,Fully irrigated,CoAgMet
GBY01,Granby,1 mile N of Granby,40.1047,-105.9433,7911,43213,Current,Fully irrigated,CoAgMet
